job_title,qualification,work_experience_years,job_description,communication_interpersonal,teamwork,problemsolving_analyticalthinking,timemanagement,leadership,creativity,stressmanagement,independent_selfmotivated
Developer_Programmer,Diploma,5.650516758167399,This position requires soft skills,1,0,0,1,0,0,1,1
TeamLead,PostGradDegree,6.922119138593089,This position requires soft skills,1,1,1,1,1,1,0,1
ITManager,ProCert,4.688534962736344,This position requires soft skills,1,0,1,1,0,0,1,0
SeniorSoftwareEngineer,Degree,17.38879008701022,This position requires soft skills,1,1,1,1,1,0,1,1
Solution_SoftwareArchitect,Master,1.6252156913595681,This position requires soft skills,1,0,1,1,0,1,1,0
SeniorDeveloper,TechCert,12.580632482968934,This position requires soft skills,1,0,0,1,0,1,1,1
SoftwareDeveloper,NA,17.859740629006858,This position requires soft skills,1,1,1,1,1,1,1,1
SoftwareDeveloper,NA,11.959075755737835,This position requires soft skills,1,1,1,1,1,1,1,1
Solution_SoftwareArchitect,PostGradDiploma,3.1494071213444315,This position requires soft skills,1,1,1,1,1,1,1,0
WebDeveloper,TechCert,4.007181485894408,This position requires soft skills,0,0,1,1,1,1,0,1
SoftwareEngineer,TechCert,6.348644361582128,This position requires soft skills,1,1,1,1,1,1,1,1
ProjectManager,PostGradDiploma,5.392440775932734,This position requires soft skills,1,1,1,1,1,1,1,0
SeniorSoftwareEngineer,AdvDiploma,6.455606148788551,This position requires soft skills,0,1,1,1,1,1,0,1
TeamLead,ProDegree,3.015280535556414,This position requires soft skills,1,1,0,1,0,1,0,1
SoftwareEngineer,ProCert,6.264411877274872,This position requires soft skills,1,1,1,1,1,1,0,1
SoftwareEngineer,PostGradDiploma,1.7239007918602662,This position requires soft skills,1,1,0,0,0,0,1,0
WebDeveloper,TechCert,1.2531776629707927,This position requires soft skills,1,0,0,1,0,1,0,1
ProjectManager,ProDegree,12.824756026197594,This position requires soft skills,1,1,1,1,1,1,0,1
SystemAnalyst,HigherDiploma,7.262833931363639,This position requires soft skills,0,1,1,1,1,0,1,0
AnalystProgrammer,ProCert,11.044847417603425,This position requires soft skills,1,1,1,1,1,1,1,1
Developer_Programmer,PhD,7.16751205716434,This position requires soft skills,1,0,0,0,0,0,1,0
SoftwareEngineer,GradDiploma,3.5618123280038034,This position requires soft skills,0,1,1,1,1,1,0,1
ApplicationEngineer_Specialist,TechCert,4.066394725564191,This position requires soft skills,1,0,1,0,1,1,1,1
Developer_Programmer,TechCert,9.335662202902867,This position requires soft skills,1,0,0,1,1,1,0,1
AnalystProgrammer,TechCert,19.00130496894753,This position requires soft skills,0,1,1,1,1,1,1,1
SeniorDeveloper,ProDegree,1.2274814158290979,This position requires soft skills,1,0,1,1,1,1,0,1
AnalystProgrammer,NA,1.7605465173436525,This position requires soft skills,0,0,0,1,0,0,0,0
ProjectManager,NA,3.947686566392792,This position requires soft skills,0,1,1,1,0,1,0,1
TeamLead,HigherDiploma,16.420223021960908,This position requires soft skills,0,1,1,0,1,0,1,1
ITManager,Degree,6.600018121933469,This position requires soft skills,0,1,1,1,1,1,0,0
SystemAnalyst,PostGradDiploma,3.7009422567591868,This position requires soft skills,1,0,1,0,0,1,0,0
ITManager,GradDiploma,11.547365398113332,This position requires soft skills,1,1,1,1,1,1,0,1
SoftwareEngineer,ProDegree,4.734485442395226,This position requires soft skills,1,1,1,1,0,1,1,1
SoftwareQuality_TestEngineer,PhD,7.034832678873974,This position requires soft skills,0,0,1,1,0,1,1,0
ITManager,HigherDiploma,5.228580858831791,This position requires soft skills,1,1,1,0,1,0,1,1
SystemAnalyst,ProCert,4.8808735657502975,This position requires soft skills,1,1,1,1,1,1,1,1
WebDeveloper,Diploma,5.444180274994517,This position requires soft skills,1,0,0,0,0,1,1,1
ProjectManager,PostGradDegree,9.102069755743948,This position requires soft skills,1,1,1,1,1,1,1,1
ITManager,TechCert,3.67980731613501,This position requires soft skills,0,0,1,1,0,1,0,1
ProjectManager,NA,9.774432339350506,This position requires soft skills,1,1,1,1,1,1,0,1
SoftwareEngineer,PostGradDegree,7.268493933371557,This position requires soft skills,0,1,1,1,0,1,1,0
ITManager,GradDiploma,1.0637666042333132,This position requires soft skills,0,1,1,0,0,0,0,1
SystemAnalyst,ProCert,10.887560157661994,This position requires soft skills,1,1,1,1,1,0,1,1
SoftwareQuality_TestEngineer,PostGradDegree,1.4365310907800033,This position requires soft skills,1,0,0,1,1,0,1,1
TeamLead,ProCert,5.283309567393319,This position requires soft skills,1,1,1,1,0,0,1,0
SoftwareDeveloper,Master,0.05975129098525258,This position requires soft skills,1,0,0,0,0,0,0,0
SoftwareEngineer,PostGradDegree,3.6268644992567376,This position requires soft skills,0,1,1,0,1,0,1,1
BusinessAnalyst,TechCert,3.684424509949466,This position requires soft skills,1,1,0,1,1,1,0,1
ApplicationEngineer_Specialist,NA,0.3614132484513656,This position requires soft skills,0,1,1,1,1,0,1,1
SeniorDeveloper,ProCert,18.66075281085189,This position requires soft skills,1,1,1,1,1,1,1,1
Solution_SoftwareArchitect,NA,1.4562918427200797,This position requires soft skills,1,0,1,1,0,1,1,0
SoftwareEngineer,NA,6.031103800043796,This position requires soft skills,1,0,1,1,0,0,1,1
WebDeveloper,AdvDiploma,6.400966668823461,This position requires soft skills,1,1,1,1,0,1,0,1
ITManager,PostGradDiploma,13.888115539432826,This position requires soft skills,1,1,1,1,0,1,1,1
SeniorSoftwareEngineer,Diploma,17.48612489134851,This position requires soft skills,1,1,1,1,1,0,1,1
ITManager,PostGradDegree,19.004684733638065,This position requires soft skills,1,1,1,1,1,1,0,1
SeniorSoftwareEngineer,ProCert,1.184533157073021,This position requires soft skills,0,1,1,1,0,1,1,0
SystemAnalyst,PostGradDegree,1.976638319625175,This position requires soft skills,0,1,1,1,1,1,0,0
SoftwareDeveloper,PostGradDiploma,1.2654768463730728,This position requires soft skills,0,0,0,0,0,1,1,0
SeniorSoftwareEngineer,Master,0.3288490539605308,This position requires soft skills,1,0,1,1,0,0,1,1
WebDeveloper,GradDiploma,0.4984820754078672,This position requires soft skills,1,1,0,1,0,0,1,1
ApplicationEngineer_Specialist,NA,7.287124635969674,This position requires soft skills,0,0,1,0,0,1,0,1
SoftwareDeveloper,Degree,5.258249085035358,This position requires soft skills,1,1,1,1,0,1,1,1
ITManager,GradDiploma,1.4344333830545826,This position requires soft skills,1,0,1,0,1,0,0,1
AnalystProgrammer,HigherDiploma,5.010179577701707,This position requires soft skills,1,1,1,0,1,1,1,0
ITManager,Degree,5.381231625733293,This position requires soft skills,1,1,0,1,1,1,1,0
SystemAnalyst,ProCert,0.5305328688802038,This position requires soft skills,0,1,0,1,0,0,0,1
ITManager,NA,3.1142533411654374,This position requires soft skills,1,0,0,0,0,1,0,1
TeamLead,Master,10.167635026512189,This position requires soft skills,1,1,1,1,1,1,1,1
SeniorDeveloper,PostGradDiploma,4.273828064788817,This position requires soft skills,1,1,1,1,1,0,0,1
Solution_SoftwareArchitect,ProCert,6.969225216438694,This position requires soft skills,1,1,0,0,1,1,0,1
ProjectManager,HigherDiploma,1.085268612419581,This position requires soft skills,0,1,1,0,0,1,0,1
SoftwareQuality_TestEngineer,Degree,3.1900526150854045,This position requires soft skills,1,0,0,1,0,0,0,0
AnalystProgrammer,AdvDiploma,4.243663966912607,This position requires soft skills,0,1,0,1,0,0,1,0
BusinessAnalyst,GradDiploma,0.5408409288684142,This position requires soft skills,0,1,1,1,0,0,1,1
WebDeveloper,PostGradDegree,4.329768035372398,This position requires soft skills,1,1,0,1,1,0,0,1
Developer_Programmer,PhD,1.940804940613821,This position requires soft skills,1,0,0,1,0,0,0,0
Developer_Programmer,PostGradDiploma,6.352108503660113,This position requires soft skills,1,1,0,1,0,1,0,1
SeniorSoftwareEngineer,HigherDiploma,2.883132291093279,This position requires soft skills,0,1,1,1,1,0,1,0
BusinessAnalyst,PostGradDiploma,2.310657502938831,This position requires soft skills,1,1,0,0,0,0,1,1
ProjectManager,GradDiploma,12.564715068800457,This position requires soft skills,1,1,1,1,0,1,1,1
ApplicationEngineer_Specialist,AdvDiploma,6.542015823245695,This position requires soft skills,0,0,1,0,1,0,1,1
SoftwareQuality_TestEngineer,PostGradDiploma,12.360155500301337,This position requires soft skills,1,1,0,1,1,1,1,0
TeamLead,PostGradDiploma,3.5279209435743373,This position requires soft skills,1,1,1,1,0,1,1,1
SoftwareQuality_TestEngineer,HigherDiploma,13.242919177548346,This position requires soft skills,1,1,1,0,1,1,1,1
Solution_SoftwareArchitect,Degree,3.0085952129445026,This position requires soft skills,1,1,1,0,1,1,1,0
TeamLead,AdvDiploma,2.280878148101077,This position requires soft skills,0,1,0,1,0,1,0,1
WebDeveloper,Master,13.571155891543732,This position requires soft skills,1,1,1,1,0,1,0,1
TeamLead,Diploma,1.8022932742023698,This position requires soft skills,0,1,0,1,0,0,0,0
WebDeveloper,ProDegree,4.371217913125785,This position requires soft skills,1,0,0,1,1,1,0,1
SoftwareQuality_TestEngineer,ProCert,3.196029345861476,This position requires soft skills,1,0,0,1,0,0,1,0
SeniorDeveloper,PhD,7.26331972556458,This position requires soft skills,1,1,1,1,0,1,1,1
BusinessAnalyst,HigherDiploma,6.3808017726156185,This position requires soft skills,1,0,1,0,1,1,1,1
AnalystProgrammer,Degree,5.86933143372163,This position requires soft skills,1,0,1,1,0,0,0,1
TeamLead,TechCert,4.810866705666408,This position requires soft skills,0,0,1,1,0,1,1,1
SeniorSoftwareEngineer,ProDegree,2.197412691966278,This position requires soft skills,0,0,1,1,0,0,0,1
ApplicationEngineer_Specialist,PostGradDiploma,2.5560402149536268,This position requires soft skills,1,1,0,0,1,0,1,0
AnalystProgrammer,PostGradDiploma,2.0919554074439906,This position requires soft skills,0,1,0,1,0,0,1,1
ITManager,TechCert,2.2162466589328633,This position requires soft skills,0,0,1,1,1,0,0,1
AnalystProgrammer,Degree,1.4799462549126672,This position requires soft skills,1,1,0,1,0,0,1,1
TeamLead,PostGradDiploma,3.784343895043417,This position requires soft skills,0,1,0,1,1,1,1,0
ApplicationEngineer_Specialist,Diploma,10.654905272887603,This position requires soft skills,1,1,1,1,0,1,1,1
SeniorDeveloper,Degree,0.016844181092370625,This position requires soft skills,0,1,1,0,0,0,1,0
AnalystProgrammer,NA,7.071434805158086,This position requires soft skills,1,1,0,1,0,1,1,1
TeamLead,Master,4.857860722500088,This position requires soft skills,1,1,1,1,1,1,1,1
ProjectManager,TechCert,0.9418468573072878,This position requires soft skills,1,0,1,0,1,1,0,0
SystemAnalyst,TechCert,3.9522369809284545,This position requires soft skills,1,0,1,1,1,1,1,1
BusinessAnalyst,GradDiploma,1.9334793831181971,This position requires soft skills,1,1,1,1,0,1,0,1
SoftwareEngineer,Master,5.395392649219833,This position requires soft skills,1,1,1,1,1,1,1,0
WebDeveloper,AdvDiploma,10.281054378399688,This position requires soft skills,1,1,1,1,1,1,1,1
ITManager,ProCert,4.876906063751188,This position requires soft skills,1,0,1,1,0,1,1,1
ApplicationEngineer_Specialist,Diploma,1.2753884673871922,This position requires soft skills,0,1,0,1,1,0,1,1
ApplicationEngineer_Specialist,Master,4.997011277090232,This position requires soft skills,1,1,0,1,0,1,1,0
ITManager,Master,6.885076324710305,This position requires soft skills,1,1,1,1,1,1,1,1
Developer_Programmer,GradDiploma,5.103087230761698,This position requires soft skills,0,1,1,0,1,0,1,0
SystemAnalyst,HigherDiploma,6.74431305585817,This position requires soft skills,1,1,0,1,1,0,1,1
AnalystProgrammer,Diploma,6.159122010458336,This position requires soft skills,1,1,0,1,1,1,1,1
Developer_Programmer,Diploma,3.64845697116203,This position requires soft skills,1,1,0,0,0,0,1,0
Solution_SoftwareArchitect,ProCert,19.326704483022176,This position requires soft skills,1,1,1,1,1,1,1,1
ProjectManager,NA,0.7915624072290022,This position requires soft skills,0,1,1,1,0,0,0,0
SoftwareEngineer,Master,5.27809182490926,This position requires soft skills,1,1,1,1,1,0,0,0
BusinessAnalyst,Diploma,0.7645217573767671,This position requires soft skills,1,0,0,1,0,0,1,0
ProjectManager,TechCert,19.994090774396252,This position requires soft skills,1,1,1,1,1,1,1,1
SeniorSoftwareEngineer,ProCert,18.53377975006335,This position requires soft skills,1,1,1,1,0,1,1,1
TeamLead,TechCert,0.06162645087391203,This position requires soft skills,0,0,1,0,0,0,0,0
BusinessAnalyst,Diploma,3.3054892786931926,This position requires soft skills,1,1,1,0,1,0,0,1
ITManager,PostGradDiploma,7.2737204391136885,This position requires soft skills,1,0,0,1,1,1,1,1
ApplicationEngineer_Specialist,PhD,19.873107451522536,This position requires soft skills,1,1,1,1,0,1,0,1
ProjectManager,Degree,0.7744486968016508,This position requires soft skills,1,0,1,1,0,0,0,1
SoftwareQuality_TestEngineer,NA,3.700915898203206,This position requires soft skills,1,1,1,1,1,1,1,1
SoftwareDeveloper,PhD,7.101207551106116,This position requires soft skills,1,1,1,1,0,0,1,0
SeniorDeveloper,TechCert,1.6445667751882487,This position requires soft skills,1,0,1,1,0,1,1,0
ITManager,GradDiploma,5.622594757371729,This position requires soft skills,0,1,0,1,1,0,0,1
TeamLead,PostGradDiploma,3.798740758450535,This position requires soft skills,1,1,1,1,1,1,1,1
SeniorDeveloper,NA,2.302034492565504,This position requires soft skills,1,0,1,0,0,0,0,1
Developer_Programmer,HigherDiploma,5.057186546791359,This position requires soft skills,1,0,0,1,1,1,1,0
WebDeveloper,ProCert,4.240101960593503,This position requires soft skills,0,1,1,1,1,1,1,1
SeniorDeveloper,Master,4.34106822974631,This position requires soft skills,1,1,1,0,0,0,0,1
AnalystProgrammer,HigherDiploma,2.243379471218506,This position requires soft skills,1,1,0,1,0,1,0,1
TeamLead,PostGradDiploma,7.39398227827291,This position requires soft skills,1,1,0,1,0,1,1,1
AnalystProgrammer,TechCert,2.036337783054953,This position requires soft skills,1,0,1,0,0,0,0,0
SoftwareEngineer,Diploma,2.8233270705750586,This position requires soft skills,1,1,0,1,0,1,1,0
AnalystProgrammer,TechCert,5.720244101518014,This position requires soft skills,1,1,1,1,1,1,1,1
AnalystProgrammer,PhD,5.256219686334005,This position requires soft skills,1,1,0,1,1,1,0,1
SoftwareEngineer,ProCert,14.512639042798067,This position requires soft skills,1,0,1,1,1,1,1,1
ProjectManager,GradDiploma,0.008225124422542219,This position requires soft skills,0,1,0,1,0,0,1,0
WebDeveloper,Degree,5.080020882500175,This position requires soft skills,1,1,0,1,0,1,1,0
SoftwareEngineer,Degree,3.005656254426887,This position requires soft skills,0,0,0,0,0,0,1,0
TeamLead,HigherDiploma,1.6866434637392538,This position requires soft skills,0,0,0,1,0,1,0,1
Solution_SoftwareArchitect,ProDegree,19.388037451248362,This position requires soft skills,1,1,1,1,1,1,1,1
SeniorDeveloper,Master,1.5006606237112587,This position requires soft skills,0,0,1,1,0,1,1,1
SoftwareDeveloper,Degree,19.435387021038224,This position requires soft skills,1,1,1,1,0,1,1,1
SeniorDeveloper,ProCert,5.540731914036889,This position requires soft skills,0,1,1,1,0,1,0,1
Solution_SoftwareArchitect,NA,3.3124806343317448,This position requires soft skills,1,1,1,0,0,0,1,0
BusinessAnalyst,Master,4.441497664103234,This position requires soft skills,1,1,0,1,1,0,1,1
Developer_Programmer,ProCert,3.021643977448755,This position requires soft skills,1,1,1,0,0,0,0,1
SystemAnalyst,ProCert,0.33444652592287794,This position requires soft skills,1,0,1,0,0,1,0,1
WebDeveloper,TechCert,0.376041856972891,This position requires soft skills,0,0,0,1,0,1,0,0
ApplicationEngineer_Specialist,Degree,2.894237810750905,This position requires soft skills,1,1,0,0,0,1,0,1
